#Frequency (cm\u-1\n)	VI Cygni #12	90 cyg12 fErrors
freq    flux            errors
2557.2	5.6553e-12	6.1873e-14
2570.1	5.7752e-12	5.2063e-14
2583.2	5.7887e-12	4.0341e-14
2596.4	5.8680e-12	4.2588e-14
2609.7	6.0156e-12	5.3933e-14
2623.1	6.1653e-12	2.6316e-14
2636.7	6.2253e-12	2.8399e-14
2650.5	6.2983e-12	2.0576e-14
2664.3	6.4797e-12	4.4419e-14
2678.3	6.6943e-12	1.8930e-14
2706.8	6.7022e-12	1.6445e-14
2724.9	6.8474e-12	1.5164e-14
2739.5	6.9556e-12	1.1698e-14
2754.3	7.0949e-12	1.3484e-14
2769.3	7.2030e-12	1.6713e-14
2784.4	7.3594e-12	1.9910e-14
2799.7	7.4695e-12	1.4972e-14
2815.1	7.5987e-12	1.6806e-14
2830.7	7.6829e-12	1.9922e-14
2846.5	7.7793e-12	1.7311e-14
2862.4	7.8844e-12	1.4581e-14
2874.5	7.8755e-12	2.2667e-14
2894.9	8.0959e-12	1.7227e-14
2911.4	8.1844e-12	9.6931e-15
2928.0	8.2779e-12	1.3196e-14
2944.9	8.4582e-12	1.0138e-14
2962.0	8.6009e-12	1.9117e-14
2979.2	8.9201e-12	9.6989e-15
2996.7	9.2167e-12	8.1208e-14
3014.3	9.1787e-12	3.7800e-14
3032.2	9.9359e-12	1.3325e-13
3050.2	9.7269e-12	1.0819e-13
3068.5	9.8866e-12	3.8912e-14
3087.0	1.0096e-11	2.5590e-14
3105.7	1.0267e-11	1.7667e-14
3124.6	1.0614e-11	4.0009e-14
3143.8	1.0729e-11	1.3579e-13
3163.2	1.0811e-11	7.0918e-14
3192.7	1.1289e-11	1.3217e-14
3212.7	1.1426e-11	1.8170e-14
3238.1	1.1863e-11	1.7438e-14
3258.6	1.1930e-11	2.1798e-14
3279.5	1.2354e-11	1.7535e-14
3300.5	1.2602e-11	2.5114e-14
3321.9	1.2638e-11	2.1895e-14
3343.5	1.2717e-11	1.7869e-14
3365.4	1.3221e-11	4.6503e-14
3387.6	1.3201e-11	3.5412e-14
3410.1	1.3391e-11	2.6578e-14
3432.8	1.3698e-11	2.3839e-14
3455.9	1.4087e-11	2.8951e-14
3479.3	1.4593e-11	5.2517e-14
3503.0	1.4458e-11	4.6496e-14
3527.0	1.4586e-11	7.3283e-14
3551.3	1.4024e-11	3.0444e-13
3576.0	1.5962e-11	8.6243e-13
