wave		    tau
3202.2511848341233 0.042101608959459
3188.1516587677725 0.035146557188999894
3175.7109004739336 0.030733238747849168
3159.952606635071 0.011682313520693044
3150 0.04738732755758138
3137.559241706161 0.004757448606876519
3084.478672985782 0.015141727291937052
3080.3317535545025 0.031717330274398464
3075.3554502369666 0.0349201557641802
3068.720379146919 0.03367041989917585
3065.4028436018957 0.05916020164820235
3058.7677725118483 0.07319708998701963
3052.962085308057 0.08213541823889872
3052.962085308057 0.09296344371660575
3047.9857819905214 0.10954206538473144
3043.0094786729856 0.1293054004286533
3037.203791469194 0.15671506626015025
3035.5450236966826 0.17009689980982273
3030.5687203791467 0.18221692275183377
3024.7630331753553 0.19179219367887212
3016.469194312796 0.18991155251003705
3007.345971563981 0.16701482174661147
3001.5402843601896 0.2027047423551785
2993.2464454976302 0.2059196425876173
2986.611374407583 0.2097654481238868
2983.293838862559 0.21487306426781771
2974.170616113744 0.20598907235789532
2961.729857819905 0.1926585564645153
2959.2417061611372 0.17674404564252716
2953.436018957346 0.16657409363962922
2944.312796208531 0.1627856431309807
2942.654028436019 0.14559422827300988
2930.21327014218 0.12653122830319669
2920.260663507109 0.1265674525311678
2914.4549763033174 0.13168412473209157
2908.649289099526 0.13871162495849299
2898.696682464455 0.14065867721194186
2892.890995260663 0.1355842666103178
2881.2796208530804 0.12416156005675122
2878.791469194313 0.10888399190992232
2870.4976303317535 0.09872309596401718
2867.1800947867296 0.0923657439550819
2860.5450236966826 0.08092492528752973
2856.3981042654027 0.07202282126362178
2848.1042654028433 0.06632052404383124
2835.6635071090045 0.04598363872369965
2823.2227488151657 0.02246204002777183
2808.2938388625594 0.019968605669091616
2800 -0.02267636670993456
2786.729857819905 0.014314607419929293
2779.265402843602 -0.007314275364506351
2767.654028436019 0.00737766776345572
2756.8720379146916 -0.02952576448214453
2746.9194312796208 0.0227397591088839
2736.137440758294 -0.023080870588945646
