		
2835.3	7.7268e-12	1.6968e-14
2842.6	7.8047e-12	9.5399e-15
2849.9	7.8461e-12	8.2297e-15
2857.2	7.8793e-12	8.0943e-15
2864.6	7.9204e-12	2.3904e-14
2875.7	7.9505e-12	9.6476e-15
2883.2	8.0596e-12	2.4641e-14
2890.6	8.1671e-12	1.0422e-14
2898.2	8.1756e-12	1.1424e-14
2903.8	8.3475e-12	2.0908e-14
2907.5	8.1643e-12	3.5992e-14
2911.3	8.2358e-12	1.1437e-14
2915.1	8.4398e-12	2.8540e-14
2918.9	8.1584e-12	2.1682e-14
2922.7	8.3091e-12	1.2359e-14
2926.5	8.3500e-12	7.2691e-14
2930.3	8.3208e-12	1.4184e-14
2934.1	8.4755e-12	1.8441e-14
2938.0	8.1436e-12	4.3710e-14
2947.5	8.4704e-12	1.1060e-13
2955.2	8.6206e-12	2.0212e-14
2962.9	8.6412e-12	2.0695e-14
2970.7	8.7681e-12	1.5612e-14
2978.5	8.9115e-12	1.4753e-13
2986.3	8.9584e-12	1.3257e-13
2994.2	9.1567e-12	2.0660e-14
3002.0	9.2367e-12	1.4962e-13
3010.0	9.7250e-12	5.8372e-14
